Nombre del producto del pedido,Tapa y base,Cumple con el reglamento RoHS de la UE,Vida útil nominal (nominal) h,Ciclo de alternado,Nivel,Código de color,Ángulo de haz (nominal) °,Flujo luminoso (nominal) lm,Designación de color,Temperatura de color correlacionada (nominal) K,Eficacia lumínica (promedio) (nominal) lm/W,Consistencia de color,Índice de reproducción de color (Nom),LLMF al final de la vida útil nominal (nominal) %,Frecuencia de entrada Hz,Potencia (nominal) W,Corriente de la lámpara (máx.) mA,Corriente de la lámpara (mín.) mA,Equivalente en potencia en vatios W,Tiempo de inicio (nominal) s,Tiempo de calentamiento para 60 % de luz (nominal) s,Tipo UL,Factor de potencia (nominal),Voltaje (nominal) V,T° ambiente (máx.) °C,T° ambiente (mín.) °C,Almacenamiento en T (rango),T° almacenamiento (máx.) °C,T° almacenamiento (mín.) °C,T° estuche máxima (nominal) °C,Con regulación de intensidad,Acabado del foco,Material del foco,Longitud del producto mm,Forma del foco,Conformidad con RoHS,Certificado UL,Cumplimiento con DLC,Consumo de energía kWh/1000 h kWh,EAN/UPC: producto,Código del pedido,Numerador SAP: cantidad por paquete,Numerador: paquetes por caja externa,N.° de material (12NC),Copiar peso neto (pieza) kg,link,Número de modelo,Flujo luminoso (promedio) (nominal) lm,Marcado CE,Certificado KEMA Keur,Código local,Código del producto completo,Descripción del código local calculado B2B,Marca CE,Referencia de medición de flujo,Clase de eficacia energética,TUV,Número de registro de EPREL,Certificaciones Energy,Tipo técnico,Conectividad,Intensidad lumínica (nominal) cd,Corriente de la lámpara (nominal) mA,Energy Star,2200 K,2700 K,Flujo luminoso en cono de 90° (promedio) lm,Aplicación principal,Controlador incluido,Interfaz de control,Cable,Clase de protección IEC,Prueba de resplandor del cable,Período de garantía,Salida lumínica constante,Cantidad de productos en MCB de 16 A Tipo B),Tensión de entrada V,Consumo de energía de CLO inicial W,Consumo de energía de CLO promedio W,Factor de potencia (mín.),Longitud total mm,Ancho total mm,Altura total mm,Código de protección de ingreso,Código de protección de impacto mec.,Flujo luminoso inicial lm,Tolerancia del flujo luminoso,Eficacia de la luminaria LED inicial lm/W,Temperatura de color correlacionada inic. K,Índice de reproducción de color inic.,Cromaticidad inicial,Potencia de entrada inicial W,Tolerancia del consumo de energía,Vida útil media L70B50 h,Rango de temperatura ambiente,Nivel de regulación máximo
ECOFIT LEDtube 1200mm 16W 765 T8 C G WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,765 [ CCT de 6.500 K],240.0,1600.0,Luz de día fría,6500.0,100.0,<7,70,0.7,,16.0,256.0,157.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,220.0,No,,,1200.0,"Tubo, terminal doble",Sí,,,,8718699596880,929001939611,1,20,929001939611,0.215,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929001939611_EU/product,,,,Sí,117952,871869959688000,ECOFIT LEDtube 1200mm 16W 765 T8 C G WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT LEDtube 600mm 8W 765 T8 C G WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,765 [ CCT de 6.500 K],240.0,800.0,Luz de día fría,6500.0,100.0,<7,70,0.7,,8.0,133.0,76.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,220.0,No,,,600.0,"Tubo, terminal doble",Sí,,,,8718699596927,929001939811,1,20,929001939811,0.12,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929001939811_EU/product,,,,Sí,117937,871869959692700,ECOFIT LEDtube 600mm 8W 765 T8 C G WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT E LEDtube 1200mm 16W 740 T8 WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,740 [ CCT de 4.000 K],240.0,1600.0,Blanco frío (CW),4000.0,100.0,<7,70,70.0,,16.0,256.0,157.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,046677580339,929003561411,1,25,929003561411,0.18,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929003561411_EU/product,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT E LEDtube 1200mm 16W 765 T8 WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,765 [ CCT de 6.500 K],240.0,1600.0,Luz de día fría,6500.0,100.0,<7,70,70.0,,16.0,256.0,157.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,No,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,046677580346,929003561511,1,25,929003561511,0.18,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929003561511_EU/product,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT E LEDtube 600mm 8W 740 T8 WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,740 [ CCT de 4.000 K],240.0,800.0,Blanco frío (CW),4000.0,100.0,<7,70,70.0,,8.0,133.0,76.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,No,Esmerilado,Cristal,600.0,"Tubo, terminal doble",Sí,,,,046677580353,929003561611,1,25,929003561611,0.09,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929003561611_EU/product,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT E LEDtube 600mm 8W 765 T8 WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000,,765 [ CCT de 6.500 K],240.0,800.0,Luz de día fría,6500.0,100.0,<7,70,70.0,,8.0,133.0,76.0,,0.5,0.5,,0.5,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,No,Esmerilado,Cristal,600.0,"Tubo, terminal doble",Sí,,,,046677580360,929003561711,1,25,929003561711,0.09,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929003561711_EU/product,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOFIT E LEDtube 1200mm 14W 765 T8 CT WV,G13 [ Medium Bi-Pin Fluorescent],Sí,15000.0,50000X,,765 [ CCT de 6.500 K],120.0,1400.0,Luz de día fría,6500.0,100.0,<7,70,70.0,,14.0,210.0,135.0,,0.5,0.5,,0.4,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,60.0,No,Transparente,Cristal,1200.0,"Tubo, terminal doble",Sí,,,,046677580377,929003560211,1,25,929003560211,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/tubos-led-ecofit-t8/929003560211_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24T5HO/46-840/IF35/P/DIM 10/1,G5 [ G5],Sí,50000.0,50000,MasterClass,840 [ CCT de 4.000 K],140.0,3500.0,Blanco frío (CW),4000.0,145.0,<5,82,70.0,,24.0,600.0,400.0,54.0,0.5,0.5,Tipo A: funciona en balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Sí,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677467142,929001283904,1,10,929001283904,0.17,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t5/929001283904_EU/product,,,,,467142,,24T5 LED/HO/48-4000 IF 10/1,,,,,,DLC Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24T5HO/46-850/IF35/P/DIM 10/1,G5 [ G5],Sí,50000.0,50000,MasterClass,850 [ CCT de 5.000 K],140.0,3500.0,Luz de día,5000.0,145.0,<5,82,70.0,,24.0,600.0,400.0,54.0,0.5,0.5,Tipo A: funciona en balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Sí,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677467159,929001284004,1,10,929001284004,0.17,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t5/929001284004_EU/product,,,,,467159,,24T5 LED/HO/48-5000 IF 10/1,,,,,,DLC Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25T5HO/COR/46-840/MF35/G 25/1,G5 [ G5],Sí,50000.0,50000,CorePro,840 [ CCT de 4.000 K],200.0,3500.0,Blanco frío (CW),4000.0,140.0,<6,80,70.0,,25.0,250.0,95.0,,0.5,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,75.0,Limitado,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677576240,929003122504,1,25,929003122504,0.151,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t5/929003122504_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/COR/48-840/IF21/G/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,CorePro,840 [ CCT de 4.000 K],240.0,2100.0,Blanco frío (CW),4000.0,150.0,<6,82,70.0,,14.0,260.0,100.0,32.0,0.5,0.5,Tipo A: funciona en balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,Sí,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677453251,929001343234,1,10,929001343234,0.215,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001343234_EU/product,,,,,,,,,,,,,DLC Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13T8/MAS/48-840/IF21/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,840 [ CCT de 4.000 K],180.0,2100.0,Blanco frío (CW),4000.0,161.0,<6,80,70.0,,13.0,300.0,50.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677473945,929001397834,1,10,929001397834,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001397834_EU/product,,,,,,,,,,,,,DLC Standard,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13T8/MAS/48-850/IF21/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,850 [ CCT de 5.000 K],180.0,2100.0,Luz de día,5000.0,161.0,<5,80,70.0,,13.0,300.0,50.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677473952,929001397934,1,10,929001397934,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001397934_EU/product,,,,,,,,,,,,,DLC Standard,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5T8/MAS/48-840/IF25/P/DIM 25/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,840 [ CCT de 4.000 K],180.0,2500.0,Blanco frío (CW),4000.0,161.0,<6,80,70.0,,15.5,320.0,60.0,32.0,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,55.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677545192,929002016404,1,25,929002016404,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929002016404_EU/product,,,,,545194,,,,,,,,,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5T8/MAS/48-850/IF25/P/DIM 25/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,850 [ CCT de 5.000 K],180.0,2500.0,Luz de día,5000.0,161.0,<5,80,70.0,,15.5,320.0,60.0,32.0,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,55.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677545208,929002016504,1,25,929002016504,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929002016504_EU/product,,,,,,,,,,,,,,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9T8/MAS/48-850/IF16/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,850 [ CCT de 5.000 K],180.0,1600.0,Luz de día,5000.0,179.0,<5,80,70.0,,8.9,300.0,90.0,32.0,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677565619,929003025604,1,10,929003025604,0.165,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929003025604_EU/product,9290030256,,,,,,,,,,,,,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7T8/MAS/24-840/IF11/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,840 [ CCT de 4.000 K],180.0,1200.0,Blanco frío (CW),4000.0,171.0,<6,80,70.0,,7.0,240.0,50.0,17.0,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677541835,929001987104,1,10,929001987104,0.09,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001987104_EU/product,,,,,,,,,,,,,DLC Standard,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7T8/MAS/24-850/IF11/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,850 [ CCT de 5.000 K],180.0,1200.0,Luz de día,5000.0,171.0,<5,80,70.0,,7.0,240.0,50.0,17.0,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Solo con reguladores de intensidad específicos,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677541842,929001987204,1,10,929001987204,0.09,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001987204_EU/product,,,,,,,,,,,,,DLC Standard,LEDTECH-LOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13T8-6U/MAS/24-840/IF21/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,840 [ CCT de 4.000 K],180.0,2100.0,Blanco frío (CW),4000.0,161.0,<6,80,70.0,,13.0,,,32.0,0.5,0.5,Tipo A: funciona en balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,Sí,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677541873,929001987604,1,10,929001987604,0.27,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001987604_EU/product,,,,,541870,,,,,,,,DLC Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13T8-6U/MAS/24-850/IF21/P/DIM 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterClass,850 [ CCT de 5.000 K],180.0,2100.0,Luz de día,5000.0,161.0,<5,80,70.0,,13.0,,,32.0,0.5,0.5,Tipo A: funciona en balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,Sí,Esmerilado,Plástico,600.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677541880,929001987704,1,10,929001987704,0.27,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929001987704_EU/product,,,,,541888,,,,,,,,DLC Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.9T8/COR/48-840/MF16/G 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,50000.0,50000,CorePro,840 [ CCT de 4.000 K],240.0,1600.0,Blanco frío (CW),4000.0,161.0,<6,80,70.0,,9.9,85.0,40.0,32.0,0.5,0.5,Tipo B: desvía el balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,70.0,Limitado,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677563462,929002483804,1,10,929002483804,0.2,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929002483804_EU/product,9290024838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12T8/COR/48-850/MF18/G 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,50000.0,50000,CorePro,850 [ CCT de 5.000 K],240.0,1800.0,Luz de día,5000.0,150.0,<5,80,70.0,,12.0,102.0,48.0,32.0,0.5,0.5,Tipo B: desvía el balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,70.0,Limitado,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677563516,929002484304,1,10,929002484304,0.215,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929002484304_EU/product,9290024843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/COR/48-840/MF21/G 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,50000.0,50000,CorePro,840 [ CCT de 4.000 K],240.0,2100.0,Blanco frío (CW),4000.0,144.0,<6,80,70.0,,14.5,124.0,58.0,32.0,0.5,0.5,Tipo B: desvía el balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,70.0,Limitado,Esmerilado,Cristal,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677563547,929002484604,1,10,929002484604,0.215,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929002484604_EU/product,9290024846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33T8/COR/96-840/MF44/G/FA8 10/1,FA8 [ FA8],Sí,50000.0,50000,CorePro,840 [ CCT de 4.000 K],240.0,4400.0,Blanco frío (CW),4000.0,133.0,<6,80,70.0,,33.0,340.0,150.0,96.0,0.5,0.5,Tipo B: desvía el balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,Limitado,Esmerilado,Cristal,2400.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677575724,929003112104,1,10,929003112104,0.4,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929003112104_EU/product,9290031121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33T8/COR/96-850/MF44/G/FA8 10/1,FA8 [ FA8],Sí,50000.0,50000,CorePro,850 [ CCT de 5.000 K],240.0,4400.0,Luz de día,5000.0,133.0,<5,80,70.0,,33.0,340.0,150.0,96.0,0.5,0.5,Tipo B: desvía el balastro,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,50.0,Limitado,Esmerilado,Cristal,2400.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677575731,929003112204,1,10,929003112204,0.4,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/tubos-led/t8/929003112204_EU/product,9290031122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/48-835/IF20/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160.0,2000.0,Blanco (WH),3500.0,142.0,<6,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547295,929002051804,1,10,929002051804,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002051804_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/48-840/IF21/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,150.0,<6,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547301,929002051904,1,10,929002051904,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002051904_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14T8/48-850/IF21/MC IA 10/1,G13 [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160.0,2100.0,Luz de día,5000.0,150.0,<5,82,70.0,,14.0,380.0,120.0,,0.5,0.5,Tipo A TLED: lista UL HF,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,40.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677547318,929002052004,1,10,929002052004,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002052004_EU/product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-835/MF20/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,835 [ CCT de 3.500 K],160.0,2000.0,Blanco (WH),3500.0,137.0,<6,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562731,929002456604,1,10,929002456604,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456604_EU/product,9290024566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-840/MF21/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,840 [ CCT de 4.000 K],160.0,2100.0,Blanco frío (CW),4000.0,144.0,<6,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562748,929002456704,1,10,929002456704,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456704_EU/product,9290024567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5T8/48-850/MF21/MC IA 10/1,G13 ROT (Rotating) [ Medium Bi-Pin Fluorescent],Sí,70000.0,50000,MasterConnect,850 [ CCT de 5.000 K],160.0,2100.0,Luz de día,5000.0,144.0,<5,82,70.0,,14.5,125.0,59.0,,1.0,0.5,Tipo B TLED: extremo doble de clasificación UL,0.9,,45.0,-20.0,-40 °C a 65 °C,65.0,-40.0,45.0,Regulación de intensidad inalámbrica,Esmerilado,Plástico,1200.0,"Tubo, terminal doble",Sí,Sí,Sí,,046677562755,929002456804,1,10,929002456804,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-t8/929002456804_EU/product,9290024568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8PAR30L/MC/930/F25/IA/120V 6/1FB,E26 [ Single Contact Medium Screw],Sí,25000.0,50000,MasterConnect,930 [ CCT de 3.000 K],25.0,850.0,Blanco (WH),3000.0,106.0,<4,90,70.0,,8.0,,,75.0,0.5,0.5,,0.9,120.0,,,,,,70.0,Regulación de intensidad inalámbrica,Transparente,Cristal,100.0,"PAR30L [ PAR 3,75″/95 mm de largo]",Sí,,,,046677553609,929002254104,1,6,929002254104,0.29,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-led-par/929002254104_EU/product,,,,,,,,,,,,,,,Interact Ready,2910.0,75.0,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8PAR30L/MC/930/F40/IA/120V 6/1FB,E26 [ Single Contact Medium Screw],Sí,25000.0,50000,MasterConnect,930 [ CCT de 3.000 K],40.0,850.0,Blanco (WH),3000.0,106.0,<4,90,70.0,,8.0,,,75.0,0.5,0.5,,0.9,120.0,,,,,,70.0,Regulación de intensidad inalámbrica,Transparente,Cristal,100.0,"PAR30L [ PAR 3,75″/95 mm de largo]",Sí,,,,046677553630,929002254404,1,6,929002254404,0.29,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-led-par/929002254404_EU/product,,,,,,,,,,,,,,,Interact Ready,1315.0,75.0,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8PAR30S/MC/930/F25/IA/120V 6/1FB,E26 [ Single Contact Medium Screw],Sí,25000.0,50000,MasterConnect,930 [ CCT de 3.000 K],25.0,850.0,Blanco (WH),3000.0,106.0,<4,90,70.0,,8.0,,,75.0,0.5,0.5,,0.9,120.0,,,,,,70.0,Regulación de intensidad inalámbrica,Transparente,Cristal,100.0,"PAR30S [ PAR 3,75″/95 mm corto]",Sí,,,,046677553661,929002254704,1,6,929002254704,0.22,https://www.lighting.philips.com.mx/prof/led-lamparas-y-tubos/led-masterconnect/masterconnect-led-par/929002254704_EU/product,,,,,,,,,,,,,,,Interact Ready,2910.0,75.0,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
